Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
5.0,0.0,1.0,151.21733,151.21733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600,12,36,24.0,12.0,3600,6657381.185749,150.0,2.19089,0.979796,-0.080775,144.0,150,BT-DoS
5.0,0.0,0.0,88.302066,88.302066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,15099684.39738,4.0,12.002604,4.505205,0.114746,81.1875,4,Benign
5.0,0.0,1.0,41.424147,41.424147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841,19,50,44.902439,7.764223,1841,24744021.892548,41.0,7.116645,1.212568,0.019963,60.283165,41,Benign
5.0,0.0,0.1,75.954872,75.954872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,17554283.14209,4.0,12.002604,4.505205,0.131635,81.1875,4,Benign
5.0,0.0,0.9,38.030207,38.030207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593,18,50,44.25,8.404281,1593,27046169.553484,36.0,7.506838,1.400714,0.073056,70.631944,36,Benign
5.0,0.0,1.0,167.171551,167.171551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3984,12,36,24.0,12.0,3984,6018132.87446,166.0,2.08263,0.931381,-0.072848,144.0,166,BT-DoS
5.0,0.0,0.9,23.506387,23.506387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773,8,50,36.809524,12.030196,773,44668710.231781,21.0,8.450603,2.625204,-0.032387,144.725624,21,Benign
5.0,0.0,1.0,30.117063,30.117063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,19,50,43.066667,9.511163,1292,34348726.272583,30.0,8.052329,1.736493,0.055264,90.462222,30,Benign
5.0,0.0,1.0,316.634809,316.634809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7584,12,36,24.0,12.0,7584,3168238.533868,316.0,1.509464,0.675053,-0.037997,144.0,316,BT-DoS
5.0,0.0,1.0,29.349856,29.349856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209,18,50,43.178571,10.014467,1209,35333633.422852,28.0,8.37658,1.892556,-0.016328,100.289541,28,Benign
5.0,0.0,1.0,169.35706,169.35706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4032,12,36,24.0,12.0,4032,5940041.856138,168.0,2.070197,0.92582,-0.071977,144.0,168,BT-DoS
5.0,0.0,1.0,58.119446,58.119446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413,18,50,43.089286,9.809392,2413,17518780.44822,56.0,5.905371,1.310835,0.029856,96.224171,56,Benign
5.0,0.0,1.0,21.026389,21.026389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564,12,36,26.857143,9.731078,564,49937248.22998,21.0,6.23355,2.123495,-0.129288,94.693878,21,Benign
5.0,0.0,0.9,31.433617,31.433617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754,12,36,27.925926,9.325099,754,33036653.812115,27.0,5.666061,1.794616,-0.104653,86.957476,27,Benign
5.0,0.0,1.0,161.295694,161.295694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840,12,36,24.0,12.0,3840,6238785.92965,160.0,2.12132,0.948683,-0.075603,144.0,160,BT-DoS
5.0,0.0,0.1,70.687638,70.687638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,18862326.939901,4.0,12.002604,4.505205,0.091225,81.1875,4,Benign
5.0,0.0,1.0,54.440097,54.440097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501,19,50,46.314815,6.382337,2501,18715395.117706,54.0,6.362209,0.868526,0.001334,40.734225,54,Benign
5.0,0.0,0.6,19.904391,19.904391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449,17,50,40.818182,10.061793,449,55264186.859131,11.0,12.675544,3.033745,0.418763,101.239669,11,Benign
5.0,0.0,1.0,45.807403,45.807403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,11,50,44.066667,10.482578,1983,22326680.746945,45.0,6.752375,1.56265,0.009736,109.884444,45,Benign
5.0,0.0,1.0,185.054458,185.054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4272,12,36,24.0,12.0,4272,5434344.717338,178.0,2.011205,0.899438,-0.06577,144.0,178,BT-DoS
5.0,0.0,0.1,35.601444,35.601444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,37451664.60673,4.0,12.002604,4.505205,0.190757,81.1875,4,Benign
5.0,0.0,1.0,11.07005,11.07005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,12,50,37.727273,14.391228,415,99367213.249207,11.0,12.174693,4.339118,0.542297,207.107438,11,Benign
5.0,0.0,1.0,16.74164,16.74164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707,36,50,44.1875,4.706628,707,63713391.621908,16.0,11.109364,1.176657,0.216007,22.152344,16,BT-DoS
