Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
5.0,0.0,0.1,49.055757,49.055757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,27179956.436157,4.0,12.002604,4.505205,-0.031277,81.1875,4,Benign
5.0,0.0,0.9,14.935229,14.935229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,8,38,15.928571,8.430085,223,72106233.009925,14.0,4.816532,2.253035,-0.084296,71.066327,14,Benign
5.0,0.0,0.9,45.354638,45.354638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878,19,50,45.804878,7.299247,1878,22599673.271179,41.0,7.243779,1.139951,0.024087,53.279001,41,Benign
5.0,0.0,0.1,41.980613,41.980613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,31760692.596436,4.0,12.002604,4.505205,0.254414,81.1875,4,Benign
5.0,0.0,0.9,3.208652,3.208652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,18,18,18.0,0.0,54,467486023.902893,3.0,10.392305,0.0,0.0,0.0,3,Benign
5.0,0.0,1.0,153.85128,153.85128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3552,12,36,24.0,12.0,3552,6543999.626523,148.0,2.205644,0.986394,-0.079433,144.0,148,BT-DoS
5.0,0.0,1.0,191.529384,191.529384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4560,12,36,24.0,12.0,4560,5248756.00502,190.0,1.946657,0.870572,-0.06348,144.0,190,BT-DoS
5.0,0.0,1.0,41.80423,41.80423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1882,18,50,45.902439,8.102408,1882,24519050.121307,41.0,7.279579,1.265384,0.015008,65.649018,41,Benign
5.0,0.0,1.0,167.337365,167.337365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3984,12,36,24.0,12.0,3984,6012169.52006,166.0,2.08263,0.931381,-0.072842,144.0,166,BT-DoS
5.0,0.0,0.1,50.829267,50.829267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,26231606.801351,4.0,12.002604,4.505205,-0.01956,81.1875,4,Benign
5.0,0.0,1.0,147.333635,147.333635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3504,12,36,24.0,12.0,3504,6834125.518799,146.0,2.2207,0.993127,-0.082954,144.0,146,BT-DoS
5.0,0.0,1.0,165.32308,165.32308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3936,12,36,24.0,12.0,3936,6085871.187456,164.0,2.095291,0.937043,-0.073744,144.0,164,BT-DoS
5.0,0.0,0.0,90.67001,90.67001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,14705340.067546,4.0,12.002604,4.505205,0.136544,81.1875,4,Benign
5.0,0.0,0.1,29.107655,29.107655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,45806964.238485,4.0,12.002604,4.505205,0.215694,81.1875,4,Benign
5.0,0.0,0.1,58.572098,58.572098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,22763967.514038,4.0,12.002604,4.505205,0.061149,81.1875,4,Benign
5.0,0.0,0.1,67.24389,67.24389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,19828319.549561,4.0,12.002604,4.505205,0.071473,81.1875,4,Benign
5.0,0.0,0.9,26.550664,26.550664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,19,50,44.4,7.504665,1110,39233167.966207,25.0,9.005954,1.500933,0.038739,56.32,25,Benign
5.0,0.0,0.9,31.594426,31.594426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754,12,36,27.925926,9.482639,754,32868504.524231,27.0,5.675737,1.824935,-0.119335,89.920439,27,Benign
5.0,0.0,0.9,32.129971,32.129971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185,8,50,40.862069,12.29725,1185,32235145.568848,29.0,7.92406,2.283542,-0.142367,151.222354,29,Benign
5.0,0.0,1.0,16.143437,16.143437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664,19,50,41.5,10.38027,664,66074323.654175,16.0,10.694625,2.595067,0.533295,107.75,16,Benign
5.0,0.0,1.0,102.811376,102.811376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448,12,36,24.0,12.0,2448,9822852.540724,102.0,2.656845,1.188177,-0.119939,144.0,102,BT-DoS
5.0,0.0,0.1,79.555855,79.555855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,16759713.490804,4.0,12.002604,4.505205,0.086591,81.1875,4,Benign
5.0,0.0,0.8,44.872304,44.872304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131,8,50,32.314286,17.171024,1131,22940916.173598,35.0,6.185368,2.902433,0.166991,294.844082,35,Benign
5.0,0.0,1.0,36.288835,36.288835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213,11,50,34.657143,15.154335,1213,28367175.775416,35.0,6.393683,2.56155,0.254328,229.653878,35,Benign
5.0,0.0,0.1,38.778788,38.778788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,12,36,22.25,9.010411,89,34383058.547974,4.0,12.002604,4.505205,-0.147306,81.1875,4,Benign
5.0,0.0,1.0,181.259737,181.259737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4320,12,36,24.0,12.0,4320,5547765.912956,180.0,2.0,0.894427,-0.067034,144.0,180,BT-DoS
